coffee-machine,kettle,dishwasher,washing-machine,clothes-dryer,fridge,freezer,air-conditioner,microwave,vacuum-cleaner,computer-tablet,computer-desktop,computer-accessory,computer-laptop,computer-auto,printer,telecom,telecom-mobile,remote-control,portable-audio-video,speaker,hi-fi,musical-instrument,set-top-box,camera,flatpanel-screen,lighting,power-tool,lawnmower,garden-machine,shredder,gaming-console,sport-exercise,gaming-portable,sewing-machine,projector,toaster,watch-clock,hairdryer,charger-adapter,headphone,iron,food-processor,small-kitchen,small-domestic,heater,personal-grooming,personal-hygiene,personal-medical,toy
,,,,,,,zuiveraar,,d(irt|ust)[ -]?buster,,,conseil,,,,,,,bluetooth,,systee?m,tambours?,vcr,,fjernsyn,feu,dremel,,løvstøvsuger,,troosten,v[eé]lo,,coudre,,,mirar,,netz[a-zß-ÿœ]+,,vapeur,entsafter,d[ée]s/hydrat(o|eu)r,doorbell,,coiffeur,water ?pick,,en parlant
,,,,,,,(d[ée]s?)?ionis([a-zß-ÿœ]+),,dirt[ -]?devil,,,diktiergerät,,,,,,,,,[ck]assette,toetsenbord,dvd,,,lampe?,drill,,leaf,,ps[- ]?[1-9] ,treadmill,,symaskine,,,ch?rono[a-zß-ÿœ],,oplader,,(glatte|flad|goderåd)[- ]?jern,juicer?,dampf,fenster,,curl(ers?|ing),zahnbürste,,ferngesteuertes
,,,,,,,d[ée]s?humidi([a-zß-ÿœ]+),,vakumier,,,dis(que|[ck])( dur|ette)?,,,,,,,,,amplifi(er|cateur),,enregistreur,,,lampes?( d[eé]s? )?,driver,,hedge,,,løbebånd,,omsyning,,,sveglia,,plug,,damp(er|station|stryg|jern),grind(er|ing)?,dörrgerät,gungsmelder,,epilierer,,,game
,,,,,,,affugter,,sauger,,,doneren,,,,,,,,,band,,fernbedienung,,,lant(aa|e)rn,druck,,motoculteur,,,motionscykel,,bobbin,,,uhr,,pouvoir,,,shre[d]+er,eier,heiz,,fac(e|ial),,,hoverboard
,,,,,,,,,st[oø]vsugere?,,,dongle,,,,,,,,,destinataire,,video,,,leucht(e|ung),fräse,,,,,,,knitting,,,r[eé]veil,,power,,,slic(er|ing),f+r[yi](er|et|teuse|tte),kühl,,foot,,,jeu
,,,,,,,,,d[iy]son,,,drijfveer,,,,,,,,,dj,,joueur,,,li[cg]hts?,grind(er|ing),,,,,,,,,,alarm,,prise,,,handrührgerät,foamer,laminat[eo]u?r,,friser,,,jouet
,,,,,,,,,,,,drive,,,,,,,,,draaibaar,,kino,,,lueur,grubber,,,,,,,,,,fit(bit|ness),,socket,,,centrifuge,four,laminiergerät,,fuß,,,lo[ck]omotive
,,,,,,,,,,,,dvd,,,,,,,,,drehscheibe,,magnétophone,,,lumi[A-zÀ-ÿ]+,gun,,,,,,,,,,,,steck,,,pürierstab,frother,messgerät,,gesicht,,,mu[sz]i[ck]([a]+l)?
,,,,,,,,,,,,festplatte,,,,,,,,,empfänger,,manette,,,lustrerie,ha[m]+er,,,,,,,,,,,,stopcontact,,,mill,gau[f]+r?ier,nietje,,glätteisen,,,pop
,,,,,,,,,,,,floppy,,,,,,,,,enregistreu?r,,player,,,phare,hecke,,,,,,,,,,,,stroom,,,klopper,glaci[èe]re,reiniger,,ha[ia]r([a-zß-ÿœ]+)?,,,poupée
