product_category,lang,regex
Toy,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(praat|drone|car\b|speelgoed|zweven|game|teddybär|en parlant|toy|afstandsbediening|spel|be[ea]r|jouet|tr[ae]in|robot(ic)?|ferngesteuertes|lo[ck]omotive|voiture|auto|remote control(led)?|doll|\bours\b|en chantant|télécommande|mu[sz]i[ck]([a]+l)?|spielzeug|hoverboard|reden|zang|pop|rc [a-zß-ÿœ]+|sing(en|ing)|talking|poupée|jeu|eisenbahn)([a-zß-ÿœ]{3,}[ -]?)?)"
TV and gaming-related accessories,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(kino|dvd|player|cin[eé]ma|speler|sound[ -?]bar|barre de son|chrome[ -]?cast|fernbedienung|d[eé]codeu?r|bioscoop|syst[èe]+me?|drohne|boîte|doos|th[eé][âa]t[er][re]|pvr|re[ck]ord(er)?|vcr|enregistreur|manette|[ck]ontro[l]+(ed?u?r?)?|magnétophone|roboter|vhs|blue?[ -]?ray|joueur|receiver|fire[ -]?stick)([a-zß-ÿœ]{3,}[ -]?)?)"
Small home electrical,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(chauffage|mas?chine|heiz|messgerät|anrufbeantworter|d[eé]tect[eo]u?r|thermostat|laminiergerät|sprechanlage|fenster|blanket|verwarming|doorbell|deken|laminat[eo]u?r|dampf|schreib|deurbel|kühl|couverture|heater|gungsmelder|sharpen(er|ing)|reiniger|b[aé]b[yé]|slijper|nietje|türsprechanlage|sabell|staple(r|ing)|sonette|steuergerät|agrafeuse)([a-zß-ÿœ]{3,}[ -]?)?)"
Battery/charger/adapter,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(chargeu?r|c[aâ]ble|extension|stopcontact|adapt[eo]u?r|plug|brancher|prise|steck|verl[eä]ng[i|eru]ng|mehrfachsteckdose|pouvoir|socket|kabel|ladegerät|oplader|batter(y|ie)|power|a[ck]+u|netz[a-zß-ÿœ]+|stroom|transform(er|ateur|ator))([a-zß-ÿœ]{3,}[ -]?)?)"
Aircon/dehumidifier,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?((d[ée]s?)?ionis([a-zß-ÿœ]+)|purifi([a-zß-ÿœ]+)|zuiveraar|ventilat([a-zß-ÿœ]+)|[ck]lima([a-zß-ÿœ]+)|aircon|conditioner|l[uü](ch|f)t([a-zß-ÿœ]+)|(be|ont?)vochtiger|extract([a-zß-ÿœ]+)|(d[ée]s?)?humidi([a-zß-ÿœ]+))([a-zß-ÿœ]{3,}[ -]?)?)"
Digital compact camera,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?([pf]h?oto|[ck]amera)([a-zß-ÿœ]{3,}[ -]?)?)"
Coffee maker,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(n?e[sx]+pre[s]+o|[ck][oaà]+[f]+i?[eéè]+([a-zß-ÿœ]+)?|senseo|mo[c]+ona|c[àa][f]+[eéè]ti[eéè]re|percolat[a-zß-ÿœ]+|mas?chine (d?[àa]? ?)c[àa][f]+[eéè])([a-zß-ÿœ]{3,}[ -]?)?)"
Desktop computer,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(computer|\bpc|to[wu]e?r\b|desktop)([a-zß-ÿœ]{3,}[ -]?)?)"
DSLR/video camera,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?([ck]am[ -]?[ck]order|video|[ck]amera|re[ck]order)([a-zß-ÿœ]{3,}[ -]?)?)"
Fan,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(\bfan|ventilat([a-zß-ÿœ]+)|l[üu]fter)([a-zß-ÿœ]{3,}[ -]?)?)"
Flat screen,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(\btv|monitor|screen|fernseher|sch[ei]rm|television|display)([a-zß-ÿœ]{3,}[ -]?)?)"
Games console,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(sp[e]+l ?station|video ?sp[ie]+l|troosten|video ?game|x-?box|[ck]onsol[ea]|\bps ?[\d]|nintendo|play ?station|sega|wii\b)([a-zß-ÿœ]{3,}[ -]?)?)"
Headphones,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(ear[ -]?(buds?|plugs?)|kopfhörer|air[ -]?pods?|casque|headset|phones?|ohrstöpsel)([a-zß-ÿœ]{3,}[ -]?)?)"
Iron,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(fer(ro)?|strij?kijzer|(de)? vapo|\biron|(a )? vapore|([àa] )?vapeur|bügeleisen|plätteisen|plancha|([àa] )repasser)([a-zß-ÿœ]{3,}[ -]?)?)"
Kettle,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(chaudière|kessel|teasmade|ket(tle|el)|bouilloire|boiler|samovar|wasserkocher|\burn)([a-zß-ÿœ]{3,}[ -]?)?)"
Lamp,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(leuchte|lampe?)([a-zß-ÿœ]{3,}[ -]?)?)"
Laptop,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(livre|book|laptop)([a-zß-ÿœ]{3,}[ -]?)?)"
Mobile,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(fon[a-zß-ÿœ]+|handy|i?[- ]?phone|telefon|mobile)([a-zß-ÿœ]{3,}[ -]?)?)"
Paper shredder,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(sc?hredder(er)?|aktenvernichter|papi?er)([a-zß-ÿœ]{3,}[ -]?)?)"
Portable radio,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(transistor|radio)([a-zß-ÿœ]{3,}[ -]?)?)"
Printer/scanner,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(jet\b|sc[aá][n]+er|printer|drucker|[pf]h?oto|fax|[ck]opier(er)?)([a-zß-ÿœ]{3,}[ -]?)?)"
Projector,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(slide|carouss?el|proje[ck]tor|beamer|viewer)([a-zß-ÿœ]{3,}[ -]?)?)"
Sewing machine,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(n[äa][äah]i?ma[cs]+hine|da coser|overlock(er|ing)?|tagliacuci|coudre|de cucire|s[eo]wing|surjet|machine ([àa] )?coudre|remalladora)([a-zß-ÿœ]{3,}[ -]?)?)"
Tablet,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(sat[ -]?nav|i-?pad|computer|pda|e[ -]?(book|reader)|gsm|navigat[a-zß-ÿœ]+|tom[ -]?tom|gps|\bfire|tablet|nuvi|satellite|kindle|display)([a-zß-ÿœ]{3,}[ -]?)?)"
Toaster,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(broodrooster|([aà] )?pain|to[oa]ster)([a-zß-ÿœ]{3,}[ -]?)?)"
Vacuum,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(va[cx](uum)?|dirt[ -]?devil|sauger|i?robot|h(enr(y|ietta))|vakumier|kruimeldief|roomba|d(irt|ust)[ -]?buster|aspirateur|hoover|carpet|tapis)([a-zß-ÿœ]{3,}[ -]?)?)"
Watch/clock,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(montre|minute[a-zß-ÿœ]+|ch?rono[a-zß-ÿœ]|watch|fit(bit|ness)|uhr|horloge|[ck]loc?k|timer?|sveglia|alarm|orologio|reloj|we[ck]+er|mirar|r[eé]veil)([a-zß-ÿœ]{3,}[ -]?)?)"
Hair dryer,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(droger|föh?n|ha[ai]r|dr[yi]er)([a-zß-ÿœ]{3,}[ -]?)?)"
Food processor,any,"(?i)(([a-zß-ÿœ]{3,}[ -]?)?(maker|juicer?|handrührgerät|entsafter|mixer|presse?|centrifuge|proce[s]+(o|eu?)r|ménager?|grind(er|ing)?|mas?chine|pürierstab|liquidiser|slic(er|ing)|blender|mühle|mix(eu?r)?|shre[d]+er)([a-zß-ÿœ]{3,}[ -]?)?)"
