Decorative or safety lights,Hair & beauty item,Handheld entertainment device,Hi-Fi integrated,Hi-Fi separates,Large home electrical,Musical instrument,PC accessory,Power tool,Small kitchen item,Toy,TV and gaming-related accessories,Small home electrical,Battery/charger/adapter,Aircon/dehumidifier,Digital compact camera,Coffee maker,Desktop computer,DSLR/video camera,Fan,Flat screen,Games console,Headphones,Iron,Kettle,Lamp,Laptop,Mobile,Paper shredder,Portable radio,Printer/scanner,Projector,Sewing machine,Tablet,Toaster,Vacuum,Watch/clock,Hair dryer,Food processor
,glätteisen,,,sound(bar)?,tondeuse,,leiterplatte,grind(er|ing),gau[f]+r?ier,reden,receiver,reiniger,verl[eä]ng[i|eru]ng,,,,,,,,,,,,,,,,,,,,,,,,,
,ha[ia]r([a-zß-ÿœ]+)?,,,speakers?,w[aä]sche?([a-zß-ÿœ]+)?,,mainboard,grubber,glaci[èe]re,remote control(led)?,roboter,sabell,,,,,,,,,,,,,,,,,,,,,,,,,,
,hygiene,,,spi?eler,,,maus,gun,grater?,robot(ic)?,sound[ -?]bar,schreib,,,,,,,,,,,,,,,,,,,,,,,,,,
,ir+igat[eo]r,,,spre[kc]h?ers?,,,middelpunt,ha[m]+er,griddle,sing(en|ing),speler,sharpen(er|ing),,,,,,,,,,,,,,,,,,,,,,,,,,
,iron,,,spulenton ,,,mikrofon,haie,grille?,speelgoed,syst[èe]+me?,slijper,,,,,,,,,,,,,,,,,,,,,,,,,,
,knipper,,,tape,,,modem,hecke,grinder,spel,th[eé][âa]t[er][re],sonette,,,,,,,,,,,,,,,,,,,,,,,,,,
,körperpflege,,,tieftöner,,,mouse,hefter,hob,spielzeug,vcr,sprechanlage,,,,,,,,,,,,,,,,,,,,,,,,,,
,kronkel,,,tuner,,,moyeu,hobel,ice[ -]?(cube)?,talking,vhs,staple(r|ing),,,,,,,,,,,,,,,,,,,,,,,,,,
,krullend,,,turntable,,,muis,jet\b,indu[ck]tion,teddybär,,steuergerät,,,,,,,,,,,,,,,,,,,,,,,,,,
,lisseurs?,,,verst[eäa]rker,,,oplader,k[aä]rs?[sc]her,jus,télécommande,,thermostat,,,,,,,,,,,,,,,,,,,,,,,,,,
,locken,,,woofer,,,pavé tactile,kante,k[o]+k,toy,,türsprechanlage,,,,,,,,,,,,,,,,,,,,,,,,,,
,locken(stab)?,,,,,,re[ck]order,laubbläser,klopper,tr[ae]in,,verwarming,,,,,,,,,,,,,,,,,,,,,,,,,,
,manikür,,,,,,routeu?r,laveuse,koch(er)?,voiture,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,massager?,,,,,,schijf,lötkolben,küchen,zang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,masseur,,,,,,souris,m[eé]u?l[aeusngr]+,lait,zweven,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mirror,,,,,,speakers?,marteau,maker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mund ,,,,,,spre[kc]h?ers?,mas?chine,mas?chine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n[aä]gel,,,,,,ssd,mi(x|sch)er,melkopschuimer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nail,,,,,,tastatur,molen,milchaufschäumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,personenwaage,,,,,,touch[ -]?pad,mühle,mill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pinces,,,,,,track[ -]?pad,multi,mix(eu?r)?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ra[sz][eo]i?r,,,,,,usb,nettoyeur,moulin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rasier(er)?,,,,,,web[ -]?cam,oefening,mousseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s[éèe]ch(e|oir),,,,,,,p[ou]mpe?,mühle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,scheer,,,,,,,paint,o[vf]en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,shaver?,,,,,,,perceuse,p[ou]mpe?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,stijltang(en)?,,,,,,,pinzette,pai?n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,stimulator,,,,,,,pist[o]+le?t?,pan\b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,straighteners?,,,,,,,ponceuse,patisserie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,styleu?r?,,,,,,,pressure,press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,tandenborstel,,,,,,,pulv[ée]risateur,process[eo]u?r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,tondeuse,,,,,,,rasentrimmer,raclette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,tongs?,,,,,,,reiniger,reibe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,tooth(brush)?,,,,,,,router,reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,trimmer?,,,,,,,s?trimmer,robot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,visage,,,,,,,säge,scales?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,voet,,,,,,,sah,schäumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,water ?pick,,,,,,,sander,schneide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zahnbürste,,,,,,,sauger,shre[d]+er,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,saw,slicer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,schaar,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,schere,soupe?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,schleif[a-zß-ÿœ]+,sous[ -]?vide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,schneide,steamer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,schraub[a-zß-ÿœ]+,trancheuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,schroevendraaier,wa[f]+(le|el),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,schweißer,waage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,sci[eé],wassersprudler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,shredder,weegschaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,slicer,whisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,slijpschijf,wok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,snijder,zerkleinerer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,souffleur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,sprayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,sprüh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,tampon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,tournevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,transformator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,tron[çc]o[n]+euse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,wandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,washer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,wechselrichter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,werkzeug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,zaag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,zentrifuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
